index,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare,cancellation,meal,check_in_baggage,cabin_baggage,origin_name,destination_name
11,DEL,BOM,07:20:00,3,02:15:00,09:35:00,3,SG8701,SG,SpiceJet,4882,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
12,DEL,BOM,19:45:00,2,02:15:00,22:00:00,2,SG8169,SG,SpiceJet,4882,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
13,DEL,BOM,19:00:00,3,02:10:00,21:10:00,3,SG8709,SG,SpiceJet,4940,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
14,DEL,BOM,19:00:00,6,02:10:00,21:10:00,6,SG8709,SG,SpiceJet,4940,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
15,DEL,BOM,07:20:00,6,02:15:00,09:35:00,6,SG8701,SG,SpiceJet,4940,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
16,DEL,BOM,21:40:00,3,02:15:00,23:55:00,3,SG711,SG,SpiceJet,4940,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
17,DEL,BOM,19:45:00,3,02:15:00,22:00:00,3,SG8169,SG,SpiceJet,4940,,,available,not available,max 7 kg,max 15 kg,Delhi,Mumbai
18,DEL,BOM,20:50:00,4,02:15:00,23:05:00,4,G8330,G8,Go First,5054,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
19,DEL,BOM,14:30:00,1,02:10:00,16:40:00,1,G8336,G8,Go First,5055,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
20,DEL,BOM,14:30:00,4,02:10:00,16:40:00,4,G8336,G8,Go First,5055,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
21,DEL,BOM,22:45:00,4,02:15:00,01:00:00,5,G8354,G8,Go First,5055,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
22,DEL,BOM,18:20:00,6,02:15:00,20:35:00,6,G8323,G8,Go First,5055,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
23,DEL,BOM,20:50:00,1,02:15:00,23:05:00,1,G8330,G8,Go First,5055,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
24,DEL,BOM,20:50:00,5,02:15:00,23:05:00,5,G8330,G8,Go First,5055,,,not available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
25,DEL,BLR,06:05:00,1,02:50:00,08:55:00,1,SG191,SG,SpiceJet,6353,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
26,DEL,BLR,08:10:00,6,02:30:00,10:40:00,6,I5740,I5,AirAsia India,7026,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
27,DEL,BLR,08:10:00,5,02:30:00,10:40:00,5,I5740,I5,AirAsia India,7026,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
28,DEL,BLR,08:10:00,1,02:30:00,10:40:00,1,I5740,I5,AirAsia India,7026,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
29,DEL,BLR,21:40:00,0,02:50:00,00:30:00,1,I51732,I5,AirAsia India,7026,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
30,DEL,BLR,21:40:00,1,02:50:00,00:30:00,2,I51732,I5,AirAsia India,7026,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
31,DEL,BLR,18:45:00,1,02:55:00,21:40:00,1,I5857,I5,AirAsia India,7026,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
32,DEL,BLR,20:30:00,0,02:55:00,23:25:00,0,G8119,G8,Go First,7105,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
33,DEL,BLR,05:50:00,1,02:45:00,08:35:00,1,G8113,G8,Go First,7106,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
34,DEL,BLR,05:50:00,6,02:45:00,08:35:00,6,G8113,G8,Go First,7106,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
35,DEL,BLR,05:50:00,0,02:45:00,08:35:00,0,G8113,G8,Go First,7106,,,available,not available,max 7 kg,max 15 kg,Delhi,Bengaluru
36,DEL,BLR,05:50:00,4,02:45:00,08:35:00,4,G8113,G8,Go First,7106,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
37,DEL,BLR,20:30:00,1,02:55:00,23:25:00,1,G8119,G8,Go First,7106,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
38,DEL,BLR,08:10:00,4,02:30:00,10:40:00,4,I5740,I5,AirAsia India,7202,,,not available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
39,DEL,BLR,21:40:00,4,02:50:00,00:30:00,5,I51732,I5,AirAsia India,7203,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
40,DEL,BLR,20:00:00,1,02:30:00,22:30:00,1,SG537,SG,SpiceJet,8380,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
41,DEL,BLR,20:30:00,6,02:55:00,23:25:00,6,G8119,G8,Go First,8483,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
42,DEL,BLR,06:05:00,4,02:50:00,08:55:00,4,SG191,SG,SpiceJet,8484,,,available,not available,max 7 kg,max 15 kg,Delhi,Bengaluru
43,DEL,BLR,09:35:00,5,02:50:00,12:25:00,5,I51529,I5,AirAsia India,8590,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
44,DEL,BLR,09:35:00,6,02:50:00,12:25:00,6,I51529,I5,AirAsia India,8590,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
45,DEL,BLR,18:45:00,6,02:55:00,21:40:00,6,I5857,I5,AirAsia India,8590,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
46,DEL,BLR,18:45:00,4,02:55:00,21:40:00,4,I5857,I5,AirAsia India,8590,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
47,DEL,BLR,18:45:00,0,02:55:00,21:40:00,0,I5857,I5,AirAsia India,8591,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
48,DEL,BLR,20:30:00,5,02:55:00,23:25:00,5,G8119,G8,Go First,11038,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Bengaluru
49,DEL,MAA,13:45:00,1,02:50:00,16:35:00,1,UK839,UK,Vistara,10462,11891,,available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
50,DEL,MAA,19:55:00,1,02:50:00,22:45:00,1,UK835,UK,Vistara,10462,11891,,available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
51,DEL,MAA,08:45:00,3,02:40:00,11:25:00,3,SG8207,SG,SpiceJet,10644,,,not available,not available,max 7 kg,max 15 kg,Delhi,Chennai
52,DEL,MAA,08:45:00,4,02:40:00,11:25:00,4,SG8207,SG,SpiceJet,10644,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
53,DEL,MAA,08:45:00,5,02:40:00,11:25:00,5,SG8207,SG,SpiceJet,10644,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
54,DEL,MAA,08:45:00,6,02:40:00,11:25:00,6,SG8207,SG,SpiceJet,10644,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
55,DEL,MAA,18:25:00,4,02:45:00,21:10:00,4,SG8103,SG,SpiceJet,10644,,,not available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
56,DEL,MAA,18:25:00,5,02:45:00,21:10:00,5,SG8103,SG,SpiceJet,10644,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
57,DEL,MAA,18:25:00,1,02:45:00,21:10:00,1,SG8103,SG,SpiceJet,10644,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
58,DEL,MAA,19:55:00,2,02:50:00,22:45:00,2,UK835,UK,Vistara,10644,11891,30449,available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
59,DEL,MAA,13:45:00,2,02:50:00,16:35:00,2,UK839,UK,Vistara,10644,13090,,available,not available,max 7 kg,max 15 kg,Delhi,Chennai
60,DEL,MAA,07:00:00,6,02:50:00,09:50:00,6,UK833,UK,Vistara,10644,11891,,available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
61,DEL,MAA,07:00:00,5,02:50:00,09:50:00,5,UK833,UK,Vistara,10644,13090,30449,available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
62,DEL,MAA,13:45:00,4,02:50:00,16:35:00,4,UK839,UK,Vistara,10644,16386,30609,available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
63,DEL,MAA,13:45:00,5,02:50:00,16:35:00,5,UK839,UK,Vistara,10644,11891,30449,available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
64,DEL,MAA,20:40:00,2,02:55:00,23:35:00,2,AI540,AI,Air India,10646,,30622,available,not available,max 7 kg,max 15 kg,Delhi,Chennai
65,DEL,MAA,09:45:00,0,02:55:00,12:40:00,0,AI429,AI,Air India,10646,,30622,available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
66,DEL,MAA,20:40:00,6,02:55:00,23:35:00,6,AI540,AI,Air India,10646,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
67,DEL,MAA,20:40:00,4,02:55:00,23:35:00,4,AI540,AI,Air India,10646,,,not available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
68,DEL,MAA,20:40:00,5,02:55:00,23:35:00,5,AI540,AI,Air India,10646,,,not available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
69,DEL,MAA,20:40:00,0,02:55:00,23:35:00,0,AI540,AI,Air India,10646,,30622,available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
70,DEL,MAA,20:40:00,1,02:55:00,23:35:00,1,AI540,AI,Air India,10646,,30622,available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
71,DEL,MAA,09:45:00,3,02:55:00,12:40:00,3,AI429,AI,Air India,10646,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
72,DEL,MAA,09:45:00,1,02:55:00,12:40:00,1,AI429,AI,Air India,10646,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
73,DEL,MAA,09:45:00,2,02:55:00,12:40:00,2,AI429,AI,Air India,10646,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Chennai
74,DEL,COK,04:55:00,0,03:20:00,08:15:00,0,AI833,AI,Air India,11740,,33138,available,not available,max 7 kg,max 15 kg,Delhi,Kochi
75,DEL,COK,15:55:00,0,03:15:00,19:10:00,0,UK885,UK,Vistara,11767,14288,33150,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
76,DEL,COK,05:30:00,5,03:10:00,08:40:00,5,UK883,UK,Vistara,11949,14288,37281,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
77,DEL,COK,05:30:00,6,03:10:00,08:40:00,6,UK883,UK,Vistara,11949,14288,49863,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
78,DEL,COK,05:30:00,3,03:10:00,08:40:00,3,UK883,UK,Vistara,11949,14288,49863,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
79,DEL,COK,05:30:00,1,03:10:00,08:40:00,1,UK883,UK,Vistara,11949,16565,32966,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
80,DEL,COK,04:55:00,2,03:20:00,08:15:00,2,AI833,AI,Air India,11951,,33138,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
81,DEL,COK,04:55:00,6,03:20:00,08:15:00,6,AI833,AI,Air India,11951,,33138,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
82,DEL,COK,04:55:00,1,03:20:00,08:15:00,1,AI833,AI,Air India,11951,,33138,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
83,DEL,COK,04:55:00,5,03:20:00,08:15:00,5,AI833,AI,Air India,11951,,33138,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
84,DEL,COK,04:55:00,4,03:20:00,08:15:00,4,AI833,AI,Air India,11951,,33138,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
85,DEL,COK,04:55:00,3,03:20:00,08:15:00,3,AI833,AI,Air India,11951,,33138,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
86,DEL,COK,05:50:00,5,03:05:00,08:55:00,5,6E6034,6E,IndiGo,12345,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
87,DEL,COK,05:50:00,2,03:05:00,08:55:00,2,6E6034,6E,IndiGo,12345,,,not available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
88,DEL,COK,05:50:00,0,03:05:00,08:55:00,0,6E6034,6E,IndiGo,12345,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
89,DEL,COK,05:50:00,1,03:05:00,08:55:00,1,6E6034,6E,IndiGo,12345,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
90,DEL,COK,05:50:00,3,03:05:00,08:55:00,3,6E6034,6E,IndiGo,12345,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
91,DEL,COK,05:50:00,6,03:05:00,08:55:00,6,6E6034,6E,IndiGo,12345,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
92,DEL,COK,05:50:00,4,03:05:00,08:55:00,4,6E6034,6E,IndiGo,12345,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
93,DEL,COK,17:55:00,3,03:10:00,21:05:00,3,6E359,6E,IndiGo,12345,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
94,DEL,COK,17:55:00,0,03:10:00,21:05:00,0,6E359,6E,IndiGo,12345,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
95,DEL,COK,17:55:00,1,03:10:00,21:05:00,1,6E359,6E,IndiGo,12345,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
96,DEL,COK,14:55:00,0,03:15:00,18:10:00,0,I5549,I5,AirAsia India,12346,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
97,DEL,COK,14:55:00,3,03:15:00,18:10:00,3,I5549,I5,AirAsia India,12346,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
98,DEL,COK,14:55:00,1,03:15:00,18:10:00,1,I5549,I5,AirAsia India,12346,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kochi
99,DEL,HYD,21:55:00,6,02:20:00,00:15:00,0,SG162,SG,SpiceJet,6661,,,available,not available,max 7 kg,max 15 kg,Delhi,Hyderabad
100,DEL,HYD,21:55:00,5,02:20:00,00:15:00,6,SG162,SG,SpiceJet,6661,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
101,DEL,HYD,05:45:00,5,02:00:00,07:45:00,5,G8423,G8,Go First,6979,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
102,DEL,HYD,05:45:00,6,02:00:00,07:45:00,6,G8423,G8,Go First,6979,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
103,DEL,HYD,18:55:00,6,02:10:00,21:05:00,6,G8422,G8,Go First,6979,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
104,DEL,HYD,18:55:00,5,02:10:00,21:05:00,5,G8422,G8,Go First,7502,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
105,DEL,HYD,07:10:00,1,02:15:00,09:25:00,1,AI560,AI,Air India,9023,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
106,DEL,HYD,07:20:00,3,02:05:00,09:25:00,3,UK829,UK,Vistara,9681,10933,,available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
107,DEL,HYD,07:20:00,6,02:05:00,09:25:00,6,UK829,UK,Vistara,9681,11959,26375,available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
108,DEL,HYD,14:45:00,2,02:15:00,17:00:00,2,UK899,UK,Vistara,9681,10760,,available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
109,DEL,HYD,20:35:00,6,02:20:00,22:55:00,6,UK871,UK,Vistara,9681,10760,26375,available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
110,DEL,HYD,07:10:00,5,02:15:00,09:25:00,5,AI560,AI,Air India,9781,,,available,not available,max 7 kg,max 15 kg,Delhi,Hyderabad
111,DEL,HYD,07:10:00,6,02:15:00,09:25:00,6,AI560,AI,Air India,9781,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
112,DEL,HYD,07:20:00,4,02:05:00,09:25:00,4,UK829,UK,Vistara,9867,10933,26375,available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
113,DEL,HYD,07:20:00,2,02:05:00,09:25:00,2,UK829,UK,Vistara,9867,10933,26250,available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
114,DEL,HYD,21:55:00,3,02:20:00,00:15:00,4,SG162,SG,SpiceJet,9867,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
115,DEL,HYD,21:55:00,4,02:20:00,00:15:00,5,SG162,SG,SpiceJet,9867,,,not available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
116,DEL,HYD,21:55:00,1,02:20:00,00:15:00,2,SG162,SG,SpiceJet,9867,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
117,DEL,HYD,21:55:00,2,02:20:00,00:15:00,3,SG162,SG,SpiceJet,9867,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
118,DEL,HYD,09:45:00,1,02:05:00,11:50:00,1,AI542,AI,Air India,9868,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
119,DEL,HYD,09:45:00,4,02:05:00,11:50:00,4,AI542,AI,Air India,9868,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
120,DEL,HYD,21:30:00,2,02:15:00,23:45:00,2,AI839,AI,Air India,9868,,26427,available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
121,DEL,HYD,07:10:00,2,02:15:00,09:25:00,2,AI560,AI,Air India,9868,,26427,available,not available,max 7 kg,max 15 kg,Delhi,Hyderabad
122,DEL,HYD,07:10:00,4,02:15:00,09:25:00,4,AI560,AI,Air India,9868,,26427,available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
123,DEL,HYD,20:35:00,2,02:20:00,22:55:00,2,UK871,UK,Vistara,10046,10760,,available,chargeable,max 7 kg,max 15 kg,Delhi,Hyderabad
124,DEL,TRV,08:10:00,5,03:15:00,11:25:00,5,UK895,UK,Vistara,13546,15966,37281,not available,chargeable,max 7 kg,max 15 kg,Delhi,Thiruvananthapuram
125,DEL,TRV,08:10:00,2,03:15:00,11:25:00,2,UK895,UK,Vistara,13546,16638,69590,available,chargeable,max 7 kg,max 15 kg,Delhi,Thiruvananthapuram
126,DEL,TRV,08:10:00,6,03:15:00,11:25:00,6,UK895,UK,Vistara,13546,15966,37281,available,chargeable,max 7 kg,max 15 kg,Delhi,Thiruvananthapuram
127,DEL,TRV,08:10:00,0,03:15:00,11:25:00,0,UK895,UK,Vistara,13546,15966,54735,not available,chargeable,max 7 kg,max 15 kg,Delhi,Thiruvananthapuram
128,DEL,TRV,08:10:00,3,03:15:00,11:25:00,3,UK895,UK,Vistara,13546,15966,32966,not available,chargeable,max 7 kg,max 15 kg,Delhi,Thiruvananthapuram
129,DEL,TRV,08:10:00,4,03:15:00,11:25:00,4,UK895,UK,Vistara,13728,15966,59049,available,chargeable,max 7 kg,max 15 kg,Delhi,Thiruvananthapuram
130,DEL,TRV,08:10:00,1,03:15:00,11:25:00,1,UK895,UK,Vistara,13728,15966,37281,available,chargeable,max 7 kg,max 15 kg,Delhi,Thiruvananthapuram
131,DEL,TRV,15:00:00,3,03:15:00,18:15:00,3,AI801,AI,Air India,13731,,64344,available,chargeable,max 7 kg,max 15 kg,Delhi,Thiruvananthapuram
132,DEL,TRV,15:00:00,5,03:15:00,18:15:00,5,AI801,AI,Air India,13731,,33738,available,chargeable,max 7 kg,max 15 kg,Delhi,Thiruvananthapuram
133,DEL,TRV,15:00:00,4,03:15:00,18:15:00,4,AI801,AI,Air India,13731,,47626,available,chargeable,max 7 kg,max 15 kg,Delhi,Thiruvananthapuram
134,DEL,TRV,15:00:00,2,03:15:00,18:15:00,2,AI801,AI,Air India,13731,,33138,available,chargeable,max 7 kg,max 15 kg,Delhi,Thiruvananthapuram
135,DEL,TRV,15:00:00,1,03:15:00,18:15:00,1,AI801,AI,Air India,13731,,33138,available,chargeable,max 7 kg,max 15 kg,Delhi,Thiruvananthapuram
136,DEL,TRV,15:00:00,0,03:15:00,18:15:00,0,AI801,AI,Air India,13928,,33138,available,chargeable,max 7 kg,max 15 kg,Delhi,Thiruvananthapuram
137,DEL,TRV,21:35:00,6,03:15:00,00:50:00,0,6.00E+155,6E,IndiGo,14124,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Thiruvananthapuram
138,DEL,TRV,21:35:00,0,03:15:00,00:50:00,1,6.00E+155,6E,IndiGo,14124,,,not available,chargeable,max 7 kg,max 15 kg,Delhi,Thiruvananthapuram
139,DEL,TRV,21:35:00,5,03:15:00,00:50:00,6,6.00E+155,6E,IndiGo,14124,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Thiruvananthapuram
140,DEL,TRV,21:35:00,2,03:15:00,00:50:00,3,6.00E+155,6E,IndiGo,14124,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Thiruvananthapuram
141,DEL,TRV,21:35:00,1,03:15:00,00:50:00,2,6.00E+155,6E,IndiGo,14124,,,not available,chargeable,max 7 kg,max 15 kg,Delhi,Thiruvananthapuram
142,DEL,TRV,21:35:00,3,03:15:00,00:50:00,4,6.00E+155,6E,IndiGo,14124,,,not available,not available,max 7 kg,max 15 kg,Delhi,Thiruvananthapuram
143,DEL,TRV,21:35:00,4,03:15:00,00:50:00,5,6.00E+155,6E,IndiGo,14481,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Thiruvananthapuram
144,DEL,TRV,15:00:00,6,03:15:00,18:15:00,6,AI801,AI,Air India,15036,,33738,available,chargeable,max 7 kg,max 15 kg,Delhi,Thiruvananthapuram
145,DEL,CCU,05:30:00,1,02:10:00,07:40:00,1,G8101,G8,Go First,5218,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kolkata
146,DEL,CCU,07:00:00,6,02:05:00,09:05:00,6,SG8263,SG,SpiceJet,5424,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kolkata
147,DEL,CCU,05:30:00,6,02:10:00,07:40:00,6,G8101,G8,Go First,5607,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kolkata
148,DEL,CCU,07:00:00,1,02:05:00,09:05:00,1,SG8263,SG,SpiceJet,6280,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kolkata
149,DEL,CCU,19:30:00,3,02:25:00,21:55:00,3,SG8254,SG,SpiceJet,6280,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kolkata
150,DEL,CCU,19:30:00,6,02:25:00,21:55:00,6,SG8254,SG,SpiceJet,6300,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kolkata
151,DEL,CCU,05:30:00,3,02:10:00,07:40:00,3,G8101,G8,Go First,6499,,,available,not available,max 7 kg,max 15 kg,Delhi,Kolkata
152,DEL,CCU,19:30:00,1,02:25:00,21:55:00,1,SG8254,SG,SpiceJet,6580,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kolkata
153,DEL,CCU,20:15:00,0,02:10:00,22:25:00,0,AI762,AI,Air India,8709,,30742,available,chargeable,max 7 kg,max 15 kg,Delhi,Kolkata
154,DEL,CCU,07:00:00,4,02:05:00,09:05:00,4,SG8263,SG,SpiceJet,8824,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kolkata
155,DEL,CCU,07:00:00,2,02:05:00,09:05:00,2,SG8263,SG,SpiceJet,8824,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kolkata
156,DEL,CCU,19:30:00,2,02:25:00,21:55:00,2,SG8254,SG,SpiceJet,8824,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kolkata
157,DEL,CCU,17:30:00,4,02:05:00,19:35:00,4,UK707,UK,Vistara,9344,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kolkata
158,DEL,CCU,07:30:00,3,02:05:00,09:35:00,3,UK705,UK,Vistara,9344,10931,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kolkata
159,DEL,CCU,06:15:00,3,02:05:00,08:20:00,3,UK747,UK,Vistara,9344,10931,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kolkata
160,DEL,CCU,07:30:00,4,02:05:00,09:35:00,4,UK705,UK,Vistara,9344,10931,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kolkata
161,DEL,CCU,17:30:00,3,02:05:00,19:35:00,3,UK707,UK,Vistara,9344,11050,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kolkata
162,DEL,CCU,07:30:00,5,02:05:00,09:35:00,5,UK705,UK,Vistara,9344,10758,30570,available,not available,max 7 kg,max 15 kg,Delhi,Kolkata
163,DEL,CCU,06:15:00,4,02:05:00,08:20:00,4,UK747,UK,Vistara,9344,10758,,available,chargeable,max 7 kg,max 15 kg,Delhi,Kolkata
164,DEL,CCU,15:55:00,4,02:10:00,18:05:00,4,UK737,UK,Vistara,9344,10878,,available,not available,max 7 kg,max 15 kg,Delhi,Kolkata
165,DEL,CCU,20:30:00,5,02:15:00,22:45:00,5,UK727,UK,Vistara,9344,10638,30570,available,chargeable,max 7 kg,max 15 kg,Delhi,Kolkata
